1720422022 0 9189 0 0 0
1720430935 0 10313 0 0 0
1720431427 0 10314 0 0 0
1720432258 0 10341 0 0 0
1720439144 0 10346 0 0 0
1720441580 0 10346 0 0 6109
1720441763 0 10346 0 0 6111
1720441874 0 10346 0 0 6111
1720442057 0 10346 0 0 6111
1720442385 0 10450 0 0 6111
1720443811 0 10450 0 0 6111
1720443882 0 10482 0 0 6111
1720449705 0 10490 0 0 6111
1720449756 0 10490 0 0 6111
1720450644 0 10515 0 0 6111
1720506189 0 10906 0 0 6111
1720506521 0 10907 0 0 6111
1720507029 0 10922 0 0 6111
1720510532 0 10968 0 0 6111
1720514277 0 10989 0 0 6111
1720534321 0 11030 0 0 6111
1720685558 0 11365 0 0 6111
1720685764 0 11371 0 0 6111
1720686633 0 11388 0 0 6111
1720687237 0 11415 0 0 6111
1720689054 0 11958 0 0 6111
1720689575 0 11966 0 0 6111
1720943149 0 13148 0 0 6111
1720943327 0 13275 0 0 6111
1720943471 0 13276 0 0 6111
1720944986 0 13290 0 0 6111
1720961956 0 13905 0 0 6111
1721208504 0 14002 0 0 6111
1721209348 0 14003 0 0 6111
1721267492 0 14052 0 0 6111
1721273155 0 14287 0 0 6111
1721273780 0 14316 0 0 6111
1721287724 0 14690 0 0 6111
1721288564 0 14719 0 0 6111
1721291343 0 14810 0 0 6111
1721302925 0 14884 0 0 6111
1721307547 0 14930 0 0 6111
1721354668 0 15142 0 0 6111
1721355206 0 15159 0 0 6111
1721358507 0 15191 0 0 6111
1721361235 0 15302 0 0 6111
1721361717 0 15307 0 0 6111
1721363800 0 15418 0 0 6111
1721364319 0 15420 0 0 6111
1721364364 0 15422 0 0 6111
1721365761 0 20599 0 0 6111
1721365897 0 20617 0 0 6111
1721366257 0 20624 0 0 6111
1721367943 0 20625 0 0 6111
1721368624 0 20627 0 0 6111
1721370751 0 20631 0 0 6111
1721372830 0 20635 0 0 6111
1721613373 0 20660 0 0 6111
1721613843 0 20664 0 0 6111
1721614049 0 20699 0 0 6111
1721614632 0 20702 0 0 6111
1721615473 0 20761 0 0 6111
1725773889 0 20761 0 35 6111
1725778191 0 20761 0 107 6111
1725778396 0 20761 0 116 6111
1725778630 0 20761 0 119 6111
1725779247 0 20761 0 140 6111
1750904336 11390 20761 0 140 6111
1750930853 11614 20761 0 140 6111
1750930982 11615 20761 0 140 6111
1750988308 11615 20761 5 140 6111
1750993331 11615 20761 20 140 6111
1751254394 11615 20761 23 140 6111
1751510607 11693 20761 23 140 6111
1751510688 11693 20761 23 140 6111
1751512198 11697 20761 23 140 6111
1754014809 12585 20761 23 140 6111
1754019233 12692 20761 23 140 6111
1754026012 13217 20761 23 140 6111
1754028985 13232 20761 23 140 6111
1754031845 13275 20761 23 140 6111
1754051560 13294 20761 23 140 6111
1754051936 13296 20761 23 140 6111
1754052391 13297 20761 23 140 6111
1754184792 13300 20761 23 140 6111
1754192840 13314 20761 23 140 6111
1754196922 13335 20761 23 140 6111
1754198932 13350 20761 23 140 6111
1754199352 13363 20761 23 140 6111
1754200602 13366 20761 23 140 6111
1754203381 13414 20761 23 140 6111
1754227981 13545 20761 23 140 6111
1754228166 13597 20761 23 140 6111
1754228267 13605 20761 23 140 6111
1754228979 13727 20761 23 140 6111
1754229675 13911 20761 23 140 6111
1754229893 13927 20761 23 140 6111
1754230219 13984 20761 23 140 6111
1754230588 14019 20761 23 140 6111
1754231546 14109 20761 23 140 6111
1754232682 14230 20761 23 140 6111
1754233029 14240 20761 23 140 6111
1754233200 14242 20761 23 140 6111
1754234403 14279 20761 23 140 6111
1754273545 14280 20761 23 140 6111
1754274075 14362 20761 23 140 6111
1754276133 14458 20761 23 140 6111
1754276657 14473 20761 23 140 6111
1754277131 14477 20761 23 140 6111
1754277169 14477 20761 23 140 6111
1754277276 14477 20761 23 140 6111
1754277839 14541 20761 23 140 6111
1754278216 14556 20761 23 140 6111
1754282207 14557 20761 23 140 6111
1754446778 14682 20761 23 140 6111
1754536168 14758 20761 23 140 6111
1754537351 14776 20761 23 140 6111
1754537500 14785 20761 23 140 6111
1754538085 14786 20761 23 140 6111
1754539096 14810 20761 23 140 6111
1754539369 14812 20761 23 140 6111
1754543216 14840 20761 23 140 6111
1754543537 14843 20761 23 140 6111
1754543940 14845 20761 23 140 6111
1754544065 14846 20761 23 140 6111
1754544815 14847 20761 23 140 6111
1754545733 14849 20761 23 140 6111
1754556446 14863 20761 23 140 6111
1754557349 14864 20761 23 140 6111
1754558504 14870 20761 23 140 6111
1754567459 14942 20761 23 140 6111
1754568064 14960 20761 23 140 6111
1754568930 14989 20761 23 140 6111
1754569123 15008 20761 23 140 6111
1754627538 15013 20761 23 140 6111
1754628345 15015 20761 23 140 6111
1754714569 15017 20761 23 140 6111
1754719137 15018 20761 23 140 6111
1754795435 15028 20761 23 140 6111
1754795460 15186 20761 23 140 6111
1754795473 15187 20761 23 140 6111
1754799740 15289 20761 23 140 6111
1754802370 15447 20761 23 140 6111
1754803629 15496 20761 23 140 6111
1754803905 15498 20761 23 140 6111
1754804613 15523 20761 23 140 6111
1754805485 15618 20761 23 140 6111
1754805777 15621 20761 23 140 6111
1754806569 15669 20761 23 140 6111
1754808400 15677 20761 23 140 6111
1754815363 15705 20761 23 140 6111
1754816056 15737 20761 23 140 6111
1754817325 15748 20761 23 140 6111
1754842451 15749 20761 23 140 6111
1754843059 15784 20761 23 140 6111
1754843076 15787 20761 23 140 6111
1754882572 15788 20761 23 140 6111
1754884195 15934 20761 23 140 6111
1754884385 15965 20761 23 140 6111
1754884498 15971 20761 23 140 6111
1754887603 16145 20761 23 140 6111
1754890895 16272 20761 23 140 6111
1754890950 16272 20761 23 140 6111
1754891403 16315 20761 23 140 6111
1754892454 16317 20761 23 140 6111
1754893758 16348 20761 23 140 6111
1754894332 16352 20761 23 140 6111
1754895073 16443 20761 23 140 6111
1754895483 16488 20761 23 140 6111
1754895841 16573 20761 23 140 6111
1754903138 16603 20761 23 140 6111
1754906523 16678 20761 23 140 6111
1754906901 16691 20761 23 140 6111
1754907046 16693 20761 23 140 6111
1754909287 16694 20761 23 140 6111
1754911225 16701 20761 23 140 6111
1754912331 16701 20761 23 140 6111
1755004043 16701 20761 125 140 6111
1755004124 16701 20761 125 140 6111
1755398875 16710 20761 125 140 6111
1755399071 16744 20761 125 140 6111
1755401639 16980 20761 125 140 6111
1755405267 17310 20761 125 140 6111
1755405604 17318 20761 125 140 6111
1755407148 17319 20761 125 140 6111
1755408266 17417 20761 125 140 6111
1755409775 17624 20761 125 140 6111
1755414853 17624 20761 240 140 6111
1755437043 17625 20761 240 140 6111
1755437966 17641 20761 240 140 6111
1755438183 17652 20761 240 140 6111
1755441346 17673 20761 240 140 6111
1755441548 17673 20761 246 140 6111
1755486819 17673 20761 246 140 6111
1755487079 17673 20761 246 140 6111
1755487363 17674 20761 246 140 6111
1755487539 17676 20761 246 140 6111
1755521655 17678 20761 246 140 6111
1755523150 17681 20761 246 140 6111
1755572691 17708 20761 246 140 6111
1755573075 17743 20761 246 140 6111
1755574884 17763 20761 246 140 6111
1755576900 17840 20761 246 140 6111
1755578320 17863 20761 246 140 6111
1755580292 18237 20761 246 140 6111
1755581859 18280 20761 246 140 6111
1755582324 18291 20761 246 140 6111
1755596091 18291 20761 247 140 6111
1755597902 18291 20761 247 140 6111
1755665095 18291 20761 247 140 6111
1755667589 18638 20761 247 140 6111
1755667773 18721 20761 247 140 6111
1755668085 18743 20761 247 140 6111
1755669092 18961 20761 247 140 6111
1755678050 19221 20761 247 140 6111
1755678639 19302 20761 247 140 6111
1755680766 19503 20761 247 140 6111
1755680835 19506 20761 247 140 6111
1755681114 19516 20761 247 140 6111
1755683083 19632 20761 247 140 6111
1755684278 19638 20761 247 140 6111
1755691026 19639 20761 247 140 6111
1755692098 19640 20761 247 140 6111
1755693524 19640 20761 247 140 6111
1755693541 19641 20761 247 140 6111
1755693942 19651 20761 247 140 6111
1755695976 20744 20761 247 140 6111
1755698290 43328 20761 247 140 6111
1755698861 45422 20761 247 140 6111
1755700352 48563 20761 247 140 6111
1755700429 48563 20761 247 140 6111
1755702966 49118 20761 247 140 6111
1755704748 49683 20761 247 140 6111
1755705112 49898 20761 247 140 6111
1755705321 49898 20761 247 140 6111
1755706367 55615 20761 247 140 6111
1755708095 55616 20761 247 140 6111
1755708811 55619 20761 247 140 6111
1755743597 56615 20761 247 140 6111
1755743740 56618 20761 247 140 6111
1755743811 56619 20761 247 140 6111
1755744255 56641 20761 247 140 6111
1755746415 56783 20761 247 140 6111
1755746862 56799 20761 247 140 6111
1755747152 56803 20761 247 140 6111
1755747226 56805 20761 247 140 6111
